DRR140161_NODE_1	BK068993
SRR7167031_NODE_75	BK069754
SRR7167047_NODE_1	BK069755
SRR7167069_NODE_13	BK069756
SRR7167073_NODE_69	BK069757
SRR7167076_NODE_1	BK069758
SRR7167078_NODE_100	BK069759
SRR7167078_NODE_105	BK069760
SRR7167078_NODE_106	BK069761
SRR7167078_NODE_107	BK069762
SRR7167078_NODE_108	BK069763
SRR7167078_NODE_110	BK069764
SRR7167078_NODE_112	BK069765
SRR7167078_NODE_113	BK069766
SRR7167078_NODE_114	BK069767
SRR7167078_NODE_115	BK069768
SRR7167078_NODE_117	BK069769
SRR7167078_NODE_118	BK069770
SRR7167078_NODE_119	BK069771
SRR7167078_NODE_126	BK069772
SRR7167078_NODE_129	BK069773
SRR7167078_NODE_133	BK069774
SRR7167078_NODE_138	BK069775
SRR7167078_NODE_139	BK069776
SRR7167078_NODE_144	BK069777
SRR7167078_NODE_148	BK069778
SRR7167078_NODE_150	BK069779
SRR7167078_NODE_153	BK069780
SRR7167078_NODE_190	BK069781
SRR7167078_NODE_60	BK069782
SRR7167078_NODE_69	BK069783
SRR7167078_NODE_70	BK069784
SRR7167078_NODE_76	BK069785
SRR7167078_NODE_86	BK069786
SRR7167078_NODE_94	BK069787
SRR7167078_NODE_98	BK069788
SRR7167079_NODE_51	BK069789
SRR8862005_NODE_11	BK069790
SRR8862005_NODE_13	BK069791
SRR8862005_NODE_16	BK069792
SRR8862005_NODE_3	BK069793
SRR8862005_NODE_4	BK069794
SRR8862005_NODE_5	BK069795
SRR8862005_NODE_6	BK069796
SRR8862005_NODE_7	BK069797
SRR8862005_NODE_9	BK069798
SRR8862007_NODE_5	BK069799
SRR8862009_NODE_10	BK069800
SRR8862009_NODE_1	BK069801
SRR8862009_NODE_2	BK069802
SRR8862009_NODE_6	BK069803
SRR8862009_NODE_8	BK069804
SRR8862009_NODE_9	BK069805
SRR8862010_NODE_20	BK069806
SRR8862010_NODE_21	BK069807
SRR8862010_NODE_26	BK069808
SRR8862010_NODE_32	BK069809
SRR8862010_NODE_34	BK069810
SRR8862010_NODE_35	BK069811
SRR8862010_NODE_37	BK069812
SRR8862010_NODE_42	BK069813
SRR8862010_NODE_43	BK069814
SRR8862010_NODE_45	BK069815
SRR8862010_NODE_52	BK069816
SRR8862010_NODE_54	BK069817
SRR8862010_NODE_58	BK069818
SRR8862010_NODE_59	BK069819
SRR8862010_NODE_60	BK069820
SRR8862010_NODE_64	BK069821
